"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2026","58.35","58.46","58.69","58.12","418.52K","-0.17%"
"06/04/2026","58.45","58.44","58.91","58.35","1.44M","0.02%"
"06/03/2026","58.44","59.00","59.00","58.08","971.93K","-0.98%"
"06/02/2026","59.02","59.00","59.30","59.00","1.29M","-0.02%"
"06/01/2026","59.03","59.43","59.60","58.91","1.58M","-0.67%"
"05/29/2026","59.43","59.50","59.85","58.74","3.64M","0.19%"
"05/25/2026","59.32","58.00","59.90","57.80","2.99M","3.74%"
"05/22/2026","57.18","57.90","57.90","57.00","756.61K","-0.68%"
"05/21/2026","57.57","57.00","58.00","57.00","2.32M","1.79%"
"05/20/2026","56.56","56.87","57.65","56.25","2.21M","0.37%"
"05/19/2026","56.35","56.90","57.95","56.01","1.61M","-0.09%"
"05/18/2026","56.40","57.80","58.20","56.02","1.50M","-2.39%"
"05/15/2026","57.78","57.84","58.15","56.90","2.14M","0.70%"
"05/14/2026","57.38","58.88","59.74","56.90","2.58M","-2.53%"
"05/13/2026","58.87","59.90","59.90","58.30","1.02M","-0.93%"
"05/12/2026","59.42","60.13","60.13","59.20","1.17M","-0.55%"
"05/11/2026","59.75","59.00","60.14","58.90","1.19M","1.13%"
"05/08/2026","59.08","59.30","59.95","58.80","1.70M","-1.24%"
"05/07/2026","59.82","60.40","60.90","59.50","2.86M","-1.06%"
"05/06/2026","60.46","59.01","61.01","58.53","7.95M","3.78%"
"05/05/2026","58.26","58.95","58.95","57.01","1.46M","-2.82%"
"05/04/2026","59.95","60.75","61.20","59.50","5.80M","0.65%"
"04/30/2026","59.56","59.00","59.97","57.90","2.36M","0.10%"
"04/29/2026","59.50","60.90","61.25","59.00","4.44M","-1.99%"
"04/28/2026","60.71","61.40","61.45","60.45","4.85M","0.00%"
"04/27/2026","60.71","61.50","62.19","60.40","7.11M","-0.83%"
"04/24/2026","61.22","61.00","62.00","57.99","12.85M","-0.08%"
"04/23/2026","61.27","64.49","64.78","60.50","12.25M","-4.25%"
"04/22/2026","63.99","66.40","66.40","63.70","2.24M","-2.07%"
"04/21/2026","65.34","66.50","66.55","64.50","3.47M","1.00%"
"04/20/2026","64.69","62.48","66.50","61.08","7.12M","3.22%"
"04/17/2026","62.67","61.38","63.24","60.76","3.16M","2.69%"
"04/16/2026","61.03","63.44","63.44","60.92","3.12M","-1.56%"
"04/15/2026","61.99","61.25","62.25","61.25","6.61M","2.18%"
"04/14/2026","60.67","60.49","61.25","60.05","4.26M","2.47%"
"04/13/2026","59.21","58.50","61.72","58.08","4.72M","-1.77%"
"04/10/2026","60.28","60.50","61.75","60.06","1.91M","0.11%"
"04/09/2026","60.21","60.50","61.00","59.01","2.99M","-0.99%"
"04/08/2026","60.81","57.50","60.81","56.63","8.52M","10.00%"
"04/07/2026","55.28","56.75","56.75","55.06","6.46M","-1.98%"
"04/06/2026","56.40","56.05","57.75","56.05","19.07M","-1.36%"
"04/03/2026","57.17","55.00","57.63","55.00","6.89M","1.79%"
"04/02/2026","56.17","55.50","56.63","54.25","4.95M","0.03%"
"04/01/2026","56.15","54.50","57.38","54.50","7.14M","4.00%"
"03/31/2026","53.99","53.50","54.75","53.10","5.58M","1.68%"
