"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2026","139.00","139.00","139.97","137.62","31.99K","-0.92%"
"06/05/2026","140.29","137.99","141.00","137.99","25.85K","2.17%"
"06/04/2026","137.31","138.00","138.00","136.99","44.99K","-0.01%"
"06/03/2026","137.32","139.01","141.00","135.04","46.56K","-1.87%"
"06/02/2026","139.94","142.15","143.25","138.80","101.32K","-1.53%"
"06/01/2026","142.12","140.00","142.94","140.00","24.78K","0.09%"
"05/29/2026","141.99","141.99","142.90","139.50","45.77K","0.70%"
"05/25/2026","141.00","140.63","143.00","140.62","267.74K","0.95%"
"05/22/2026","139.68","142.00","143.65","139.00","57.25K","-0.09%"
"05/21/2026","139.80","143.00","145.90","139.00","207.17K","-1.47%"
"05/20/2026","141.89","140.00","142.45","140.00","26.06K","1.33%"
"05/19/2026","140.03","139.90","142.00","139.00","24.96K","1.08%"
"05/18/2026","138.53","142.00","142.00","138.11","55.47K","-3.46%"
"05/15/2026","143.49","143.00","146.34","140.50","16.59K","0.41%"
"05/14/2026","142.90","144.00","144.80","141.90","54.45K","-0.76%"
"05/13/2026","143.99","144.90","145.99","143.01","6.01K","0.33%"
"05/12/2026","143.51","145.00","148.99","142.00","32.14K","-0.33%"
"05/11/2026","143.99","152.39","152.39","140.00","228.90K","-4.10%"
"05/08/2026","150.14","152.00","152.00","149.00","31.70K","-1.74%"
"05/07/2026","152.80","154.90","154.90","150.56","27.23K","-0.51%"
"05/06/2026","153.59","149.00","154.00","147.20","187.89K","3.64%"
"05/05/2026","148.19","148.00","149.99","140.10","42.97K","2.69%"
"05/04/2026","144.31","140.16","151.84","140.16","64.06K","1.84%"
"04/30/2026","141.70","148.00","148.00","135.15","76.45K","-4.74%"
"04/29/2026","148.75","150.00","153.00","147.00","78.63K","-1.27%"
"04/28/2026","150.67","152.99","155.40","145.10","50.16K","-1.52%"
"04/27/2026","153.00","152.00","156.00","151.00","43.57K","0.10%"
"04/24/2026","152.84","149.00","155.75","143.00","45.82K","1.90%"
"04/23/2026","149.99","153.50","153.50","148.50","19.94K","-1.97%"
"04/22/2026","153.00","153.63","153.90","150.00","90.62K","-0.41%"
"04/21/2026","153.63","157.90","159.99","152.00","62.03K","-0.92%"
"04/20/2026","155.05","163.48","163.48","150.00","132.72K","-5.42%"
"04/17/2026","163.94","156.00","164.89","156.00","163.21K","4.59%"
"04/16/2026","156.74","157.00","158.90","151.50","162.99K","1.34%"
"04/15/2026","154.67","147.00","155.00","147.00","109.66K","6.18%"
"04/14/2026","145.67","137.31","146.12","137.31","97.49K","4.93%"
"04/13/2026","138.82","140.00","141.00","132.00","117.00K","-3.60%"
"04/10/2026","144.01","140.00","147.00","140.00","91.64K","4.14%"
"04/09/2026","138.28","133.00","140.00","129.70","105.53K","6.00%"
"04/08/2026","130.45","130.45","130.45","130.45","52.65K","10.00%"
"04/07/2026","118.59","113.53","119.00","113.53","88.57K","1.16%"
"04/06/2026","117.23","117.00","118.00","110.03","114.96K","0.80%"
"04/03/2026","116.30","119.00","119.12","113.00","48.55K","-3.53%"
"04/02/2026","120.55","120.90","120.90","117.00","30.38K","-0.86%"
"04/01/2026","121.59","119.00","125.00","116.00","48.70K","2.78%"
"03/31/2026","118.30","116.94","121.00","116.94","15.54K","1.43%"
"03/30/2026","116.63","118.00","118.91","115.00","26.34K","-1.16%"
"03/27/2026","118.00","116.15","118.00","114.40","11.34K","0.73%"
"03/26/2026","117.15","119.00","119.90","116.12","20.27K","-1.93%"
"03/25/2026","119.45","117.00","119.90","117.00","12.90K","2.97%"
"03/24/2026","116.00","119.00","124.80","112.00","24.22K","-2.27%"
"03/19/2026","118.69","118.02","119.79","116.60","23.85K","0.45%"
"03/18/2026","118.16","116.00","119.00","116.00","14.69K","2.76%"
"03/17/2026","114.99","114.57","115.00","112.05","8.37K","0.37%"
"03/16/2026","114.57","120.65","120.65","110.11","60.19K","-4.96%"
"03/13/2026","120.55","119.00","123.00","112.50","15.24K","2.16%"
"03/12/2026","118.00","118.00","120.00","115.00","12.91K","-1.03%"
"03/11/2026","119.23","118.00","122.00","117.00","32.65K","1.40%"
"03/10/2026","117.58","120.00","124.49","117.00","179.19K","1.62%"
"03/09/2026","115.70","127.99","127.99","115.70","49.22K","-10.00%"
"03/06/2026","128.55","133.00","133.00","126.00","55.88K","-2.97%"
"03/05/2026","132.48","137.82","141.00","129.00","120.42K","-3.87%"
"03/04/2026","137.82","137.44","141.25","133.02","11.35K","0.28%"
"03/03/2026","137.44","130.00","139.40","130.00","14.46K","4.82%"
"03/02/2026","131.12","127.00","153.99","126.63","49.65K","-7.47%"
"02/27/2026","141.70","140.50","143.97","135.00","67.82K","-1.18%"
"02/26/2026","143.39","145.79","145.79","131.00","110.82K","0.03%"
"02/25/2026","143.34","149.75","152.00","142.00","47.67K","-2.68%"
"02/24/2026","147.29","141.50","149.00","135.01","81.95K","3.92%"
"02/23/2026","141.73","147.20","147.90","138.00","60.44K","-2.51%"
"02/20/2026","145.38","154.00","154.00","136.45","140.88K","-4.11%"
"02/19/2026","151.61","157.20","157.20","150.01","20.87K","-3.37%"
"02/18/2026","156.89","154.90","157.50","153.20","21.50K","1.45%"
"02/17/2026","154.64","154.00","155.75","153.89","35.80K","0.64%"
"02/16/2026","153.65","153.00","155.70","150.00","41.39K","0.96%"
"02/13/2026","152.19","153.00","156.00","150.10","51.35K","-0.38%"
"02/12/2026","152.77","156.92","156.92","150.00","125.90K","-2.65%"
"02/11/2026","156.93","156.00","157.97","154.00","76.18K","0.48%"
"02/10/2026","156.18","158.00","160.00","153.70","64.41K","-1.07%"
"02/09/2026","157.87","155.02","158.00","152.00","51.00K","1.98%"
"02/06/2026","154.81","155.99","155.99","152.30","74.33K","0.47%"
"02/04/2026","154.09","156.00","158.00","153.00","85.03K","-0.70%"
"02/03/2026","155.18","158.72","159.00","155.00","96.39K","-1.28%"
"02/02/2026","157.20","162.00","162.00","155.00","155.59K","-3.21%"
"01/30/2026","162.42","160.22","163.90","160.00","73.58K","0.35%"
"01/29/2026","161.85","163.11","166.00","160.15","103.10K","-2.02%"
"01/28/2026","165.18","164.95","166.00","163.01","54.51K","-0.43%"
"01/27/2026","165.89","166.00","166.70","163.00","39.65K","0.16%"
"01/26/2026","165.62","169.50","169.50","162.50","61.56K","-1.18%"
"01/23/2026","167.60","163.00","168.00","162.00","104.38K","2.45%"
"01/22/2026","163.59","162.00","164.46","161.00","83.50K","1.46%"
"01/21/2026","161.24","162.00","163.50","160.15","79.86K","-0.90%"
