"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2026","431.50","435.60","437.67","430.20","850.82K","-0.67%"
"06/04/2026","434.40","434.95","436.36","430.00","937.13K","1.06%"
"06/03/2026","429.83","435.00","435.00","427.00","1.56M","-1.34%"
"06/02/2026","435.67","437.14","441.50","432.00","1.60M","-0.34%"
"06/01/2026","437.14","451.90","452.15","434.00","2.21M","-3.59%"
"05/29/2026","453.43","440.00","454.50","437.80","4.07M","3.81%"
"05/25/2026","436.77","435.00","438.50","430.00","1.91M","3.47%"
"05/22/2026","422.13","430.48","431.50","420.16","1.11M","-1.10%"
"05/21/2026","426.82","418.00","434.00","418.00","4.01M","3.88%"
"05/20/2026","410.88","410.01","412.25","405.01","3.98M","0.73%"
"05/19/2026","407.89","408.11","415.49","406.11","628.91K","0.34%"
"05/18/2026","406.51","413.15","414.99","405.00","949.98K","-2.69%"
"05/15/2026","417.75","429.00","429.00","416.00","1.17M","-1.19%"
"05/14/2026","422.80","422.36","429.90","421.00","531.44K","0.10%"
"05/13/2026","422.36","428.02","431.40","421.00","767.84K","-1.39%"
"05/12/2026","428.30","436.13","440.00","427.00","708.15K","-1.80%"
"05/11/2026","436.13","440.26","441.40","435.00","1.30M","-2.15%"
"05/08/2026","445.73","442.00","448.97","438.00","1.73M","-0.86%"
"05/07/2026","449.60","445.25","457.00","436.00","3.84M","2.27%"
"05/06/2026","439.61","420.10","444.00","418.11","5.10M","7.46%"
"05/05/2026","409.10","405.00","411.90","405.00","964.83K","-0.51%"
"05/04/2026","411.18","411.00","425.00","406.81","1.76M","0.78%"
"04/30/2026","407.99","413.94","413.94","400.51","2.25M","-2.49%"
"04/29/2026","418.41","418.01","425.90","410.50","1.77M","-0.05%"
"04/28/2026","418.64","417.99","421.00","415.00","881.74K","-1.00%"
"04/27/2026","422.88","430.00","434.00","420.00","990.17K","-1.71%"
"04/24/2026","430.25","422.27","435.00","415.00","1.39M","1.05%"
"04/23/2026","425.80","430.00","433.99","420.55","1.05M","-1.23%"
"04/22/2026","431.12","441.00","442.97","429.05","1.38M","-2.24%"
"04/21/2026","441.02","448.00","448.00","438.50","1.63M","0.04%"
"04/20/2026","440.86","445.00","445.00","430.10","3.73M","-1.89%"
"04/17/2026","449.37","438.01","451.95","437.01","3.39M","3.18%"
"04/16/2026","435.50","439.99","444.00","430.15","2.92M","-0.06%"
"04/15/2026","435.77","455.00","458.44","433.99","5.44M","0.32%"
"04/14/2026","434.36","425.00","438.00","420.00","4.06M","5.93%"
"04/13/2026","410.06","415.00","425.00","407.00","3.60M","-5.90%"
"04/10/2026","435.76","431.11","447.80","431.11","3.96M","1.35%"
"04/09/2026","429.97","439.80","439.80","402.00","7.13M","2.29%"
"04/08/2026","420.33","420.33","420.33","420.33","858.50K","10.00%"
"04/07/2026","382.12","372.00","385.00","370.00","2.40M","0.75%"
"04/06/2026","379.26","370.50","382.56","361.36","3.26M","2.18%"
"04/03/2026","371.17","370.00","377.00","369.00","1.46M","-2.00%"
"04/02/2026","378.75","376.00","383.44","370.00","2.85M","-2.78%"
"04/01/2026","389.58","368.00","392.55","368.00","6.25M","9.17%"
"03/31/2026","356.86","355.00","364.00","350.52","1.99M","3.41%"
"03/30/2026","345.09","362.30","364.00","339.00","2.66M","-4.75%"
"03/27/2026","362.30","366.15","373.00","360.00","1.99M","-1.16%"
"03/26/2026","366.56","383.97","383.97","363.00","3.31M","-4.79%"
"03/25/2026","384.99","370.23","389.25","368.11","4.70M","5.41%"
"03/24/2026","365.22","379.68","379.68","358.00","4.35M","2.92%"
"03/19/2026","354.85","350.03","358.52","344.00","2.72M","-0.47%"
"03/18/2026","356.53","349.99","363.50","343.97","2.71M","2.81%"
"03/17/2026","346.79","345.00","354.98","341.00","2.68M","1.13%"
"03/16/2026","342.91","358.40","359.00","341.50","2.23M","-4.44%"
"03/13/2026","358.85","365.00","367.65","350.00","1.89M","-2.09%"
"03/12/2026","366.50","375.10","377.96","365.00","1.77M","-3.30%"
"03/11/2026","379.02","385.00","390.00","375.10","1.67M","-0.10%"
"03/10/2026","379.41","376.00","379.47","371.00","1.97M","9.98%"
"03/09/2026","344.97","344.74","359.99","344.74","3.90M","-9.94%"
"03/06/2026","383.04","397.99","398.00","381.99","2.03M","-3.96%"
"03/05/2026","398.83","392.95","400.50","390.00","3.78M","2.11%"
"03/04/2026","390.60","398.00","398.00","389.00","1.65M","-1.99%"
"03/03/2026","398.55","387.00","405.00","381.27","4.35M","4.53%"
"03/02/2026","381.27","379.96","410.20","379.96","7.25M","-9.69%"
"02/27/2026","422.18","420.00","435.00","410.20","1.34M","-0.44%"
"02/26/2026","424.06","415.00","430.50","408.00","2.52M","2.29%"
"02/25/2026","414.58","423.24","428.30","410.55","1.15M","-1.81%"
"02/24/2026","422.22","415.00","431.02","405.00","2.98M","3.49%"
"02/23/2026","407.97","434.99","435.00","397.00","3.54M","-6.54%"
"02/20/2026","436.50","435.80","441.97","424.01","1.74M","0.18%"
"02/19/2026","435.72","453.90","453.90","432.60","1.30M","-4.08%"
"02/18/2026","454.25","449.00","457.50","445.50","4.59M","1.93%"
"02/17/2026","445.65","449.06","457.00","441.00","2.54M","-0.76%"
"02/16/2026","449.06","461.02","462.00","442.00","5.94M","-2.56%"
