"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2026","649.67","658.88","658.88","647.06","606.55K","-0.94%"
"06/04/2026","655.81","654.80","657.90","652.00","235.32K","0.16%"
"06/03/2026","654.79","654.99","657.00","652.02","366.18K","-0.19%"
"06/02/2026","656.06","658.50","661.99","653.11","380.65K","-0.31%"
"06/01/2026","658.11","670.00","671.90","655.00","880.31K","-1.70%"
"05/29/2026","669.47","661.00","671.10","655.00","1.33M","1.66%"
"05/25/2026","658.52","654.88","662.00","649.90","1.45M","2.32%"
"05/22/2026","643.56","654.00","654.00","642.00","389.36K","-0.60%"
"05/21/2026","647.43","644.00","654.00","643.00","571.88K","1.76%"
"05/20/2026","636.24","632.00","638.25","628.91","390.85K","1.17%"
"05/19/2026","628.88","633.15","638.99","625.11","588.90K","-0.33%"
"05/18/2026","630.99","640.00","640.80","628.00","577.93K","-1.84%"
"05/15/2026","642.79","648.95","649.89","640.20","228.09K","-0.48%"
"05/14/2026","645.88","650.00","652.49","644.95","449.66K","-0.20%"
"05/13/2026","647.18","647.00","652.70","645.00","616.95K","0.11%"
"05/12/2026","646.48","645.11","658.95","645.00","715.33K","-0.08%"
"05/11/2026","646.99","648.00","652.00","645.00","244.95K","-0.59%"
"05/08/2026","650.81","660.00","660.98","649.94","765.77K","-1.78%"
"05/07/2026","662.63","658.00","673.00","652.00","1.36M","1.86%"
"05/06/2026","650.55","644.74","655.00","640.00","862.80K","2.12%"
"05/05/2026","637.03","621.56","641.00","621.56","444.03K","0.68%"
"05/04/2026","632.74","635.00","648.00","626.56","431.74K","0.13%"
"04/30/2026","631.93","638.00","638.00","622.00","443.27K","-1.41%"
"04/29/2026","640.94","649.99","653.00","640.00","291.39K","-0.90%"
"04/28/2026","646.76","648.00","653.77","645.55","230.50K","-0.67%"
"04/27/2026","651.13","655.00","660.00","647.00","368.13K","-0.62%"
"04/24/2026","655.21","642.00","661.59","641.01","527.93K","0.51%"
"04/23/2026","651.86","664.10","669.00","650.06","463.83K","-2.13%"
"04/22/2026","666.02","668.00","677.00","665.50","768.07K","-0.88%"
"04/21/2026","671.94","673.99","675.95","667.50","883.05K","0.34%"
"04/20/2026","669.69","668.94","678.49","662.26","1.10M","-0.91%"
"04/17/2026","675.85","667.00","680.00","664.94","1.54M","1.64%"
"04/16/2026","664.94","668.00","670.01","662.03","519.84K","0.65%"
"04/15/2026","660.65","685.00","685.00","658.24","1.06M","0.61%"
"04/14/2026","656.67","652.10","660.00","652.10","492.68K","1.63%"
"04/13/2026","646.15","650.26","654.00","641.10","700.54K","-3.30%"
"04/10/2026","668.21","671.00","675.00","666.01","640.79K","0.08%"
"04/09/2026","667.70","685.00","685.00","662.00","1.99M","-3.04%"
"04/08/2026","688.60","680.00","692.00","659.00","3.77M","9.02%"
"04/07/2026","631.64","629.48","635.00","621.00","658.19K","-0.37%"
"04/06/2026","634.00","625.05","637.00","614.00","725.47K","1.75%"
"04/03/2026","623.08","625.00","638.80","622.05","617.37K","-1.43%"
"04/02/2026","632.10","634.99","635.00","625.00","667.32K","-1.56%"
"04/01/2026","642.14","634.00","658.90","632.50","1.70M","2.25%"
"03/31/2026","628.01","614.00","635.00","612.00","655.02K","2.31%"
"03/30/2026","613.86","613.00","620.00","603.03","490.81K","-0.66%"
"03/27/2026","617.92","634.89","634.89","602.25","1.17M","-1.47%"
"03/26/2026","627.14","640.10","642.10","626.00","971.06K","-2.34%"
"03/25/2026","642.14","624.00","650.00","622.01","1.07M","3.67%"
"03/24/2026","619.43","624.00","629.00","619.00","703.10K","0.38%"
"03/19/2026","617.07","615.00","631.00","605.50","2.04M","-0.22%"
"03/18/2026","618.45","603.00","625.00","600.00","919.16K","2.97%"
"03/17/2026","600.62","600.50","607.00","590.85","393.21K","0.31%"
"03/16/2026","598.76","611.40","613.00","595.00","398.69K","-2.42%"
"03/13/2026","613.62","606.10","616.90","604.50","538.26K","0.80%"
"03/12/2026","608.75","620.21","624.00","608.00","652.15K","-1.85%"
"03/11/2026","620.21","630.36","640.00","615.00","721.96K","-1.61%"
"03/10/2026","630.36","665.00","665.00","620.00","1.57M","2.17%"
"03/09/2026","616.99","607.00","624.00","565.00","1.47M","-0.01%"
