"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2026","356.76","360.00","363.88","355.00","234.66K","-0.50%"
"06/11/2026","358.54","360.00","360.00","358.00","44.34K","-0.52%"
"06/10/2026","360.43","360.00","362.99","360.00","48.32K","-0.91%"
"06/09/2026","363.73","358.00","366.00","358.00","165.89K","2.26%"
"06/08/2026","355.68","359.08","359.08","344.01","92.55K","-0.95%"
"06/05/2026","359.08","365.00","366.50","351.00","169.19K","-1.52%"
"06/04/2026","364.61","364.10","367.49","361.00","66.70K","-0.01%"
"06/03/2026","364.63","368.00","368.95","361.51","99.81K","-1.16%"
"06/02/2026","368.91","364.25","370.00","364.00","49.63K","1.28%"
"06/01/2026","364.25","372.96","373.55","361.00","129.82K","-2.34%"
"05/29/2026","372.96","376.00","379.79","372.00","152.70K","-0.58%"
"05/25/2026","375.13","372.00","380.00","372.00","123.84K","1.60%"
"05/22/2026","369.23","375.00","375.00","368.00","61.36K","-0.72%"
"05/21/2026","371.89","371.50","375.00","370.75","58.47K","0.46%"
"05/20/2026","370.17","372.00","372.00","366.00","25.54K","0.40%"
"05/19/2026","368.71","370.00","372.00","365.90","177.07K","-0.19%"
"05/18/2026","369.42","372.00","372.03","368.11","120.86K","-0.70%"
"05/15/2026","372.03","375.00","375.00","370.22","53.84K","-0.45%"
"05/14/2026","373.72","378.00","380.00","372.03","42.50K","-1.14%"
"05/13/2026","378.02","379.61","380.99","377.00","47.66K","-0.42%"
