"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2026","356.76","360.00","363.88","355.00","234.66K","-0.50%"
"06/11/2026","358.54","360.00","360.00","358.00","44.34K","-0.52%"
"06/10/2026","360.43","360.00","362.99","360.00","48.32K","-0.91%"
"06/09/2026","363.73","358.00","366.00","358.00","165.89K","2.26%"
"06/08/2026","355.68","359.08","359.08","344.01","92.55K","-0.95%"
"06/05/2026","359.08","365.00","366.50","351.00","169.19K","-1.52%"
"06/04/2026","364.61","364.10","367.49","361.00","66.70K","-0.01%"
"06/03/2026","364.63","368.00","368.95","361.51","99.81K","-1.16%"
"06/02/2026","368.91","364.25","370.00","364.00","49.63K","1.28%"
"06/01/2026","364.25","372.96","373.55","361.00","129.82K","-2.34%"
"05/29/2026","372.96","376.00","379.79","372.00","152.70K","-0.58%"
"05/25/2026","375.13","372.00","380.00","372.00","123.84K","1.60%"
"05/22/2026","369.23","375.00","375.00","368.00","61.36K","-0.72%"
"05/21/2026","371.89","371.50","375.00","370.75","58.47K","0.46%"
"05/20/2026","370.17","372.00","372.00","366.00","25.54K","0.40%"
"05/19/2026","368.71","370.00","372.00","365.90","177.07K","-0.19%"
"05/18/2026","369.42","372.00","372.03","368.11","120.86K","-0.70%"
"05/15/2026","372.03","375.00","375.00","370.22","53.84K","-0.45%"
"05/14/2026","373.72","378.00","380.00","372.03","42.50K","-1.14%"
"05/13/2026","378.02","379.61","380.99","377.00","47.66K","-0.42%"
"05/12/2026","379.61","383.80","386.00","378.02","37.04K","-0.91%"
"05/11/2026","383.08","379.99","383.98","378.00","46.53K","-0.93%"
"05/08/2026","386.69","385.00","389.00","380.51","157.22K","0.18%"
"05/07/2026","386.01","386.10","390.00","384.00","698.79K","0.02%"
"05/06/2026","385.94","375.00","390.00","375.00","271.63K","3.20%"
"05/05/2026","373.96","377.00","377.00","366.99","44.95K","-0.84%"
"05/04/2026","377.14","380.00","385.00","373.01","165.14K","1.91%"
"04/30/2026","370.08","377.00","377.00","368.50","126.99K","-2.13%"
"04/29/2026","378.13","383.97","388.00","375.06","166.43K","-1.52%"
"04/28/2026","383.97","374.50","400.00","370.02","320.02K","1.92%"
"04/27/2026","376.74","374.50","380.00","374.00","43.07K","0.52%"
"04/24/2026","374.79","369.90","378.00","363.51","64.40K","1.19%"
"04/23/2026","370.37","373.81","379.99","368.50","92.07K","-0.92%"
"04/22/2026","373.81","384.25","384.25","370.22","101.71K","-2.72%"
"04/21/2026","384.25","381.20","388.44","381.18","123.90K","0.81%"
"04/20/2026","381.18","390.00","390.00","367.00","342.76K","-2.94%"
"04/17/2026","392.74","399.88","399.88","389.20","94.98K","0.23%"
"04/16/2026","391.82","394.00","400.10","389.51","96.42K","0.30%"
"04/15/2026","390.63","379.00","400.00","375.01","259.36K","5.67%"
"04/14/2026","369.68","365.00","370.48","362.00","211.75K","2.82%"
"04/13/2026","359.55","370.62","370.63","357.00","192.97K","-5.44%"
"04/10/2026","380.23","361.50","384.48","361.01","434.51K","5.84%"
"04/09/2026","359.26","365.00","370.00","351.00","237.73K","-1.35%"
"04/08/2026","364.18","344.00","364.18","344.00","382.99K","10.00%"
"04/07/2026","331.07","330.10","333.00","328.00","74.55K","-0.47%"
"04/06/2026","332.62","330.00","336.00","326.50","87.26K","0.89%"
"04/03/2026","329.69","331.65","340.00","326.01","86.74K","-1.78%"
"04/02/2026","335.65","340.00","340.00","331.50","119.95K","-2.50%"
"04/01/2026","344.27","339.00","348.00","338.00","232.88K","3.13%"
"03/31/2026","333.83","333.00","343.00","330.01","73.15K","0.83%"
"03/30/2026","331.07","349.99","349.99","329.50","148.54K","-2.98%"
"03/27/2026","341.25","344.90","354.00","339.00","52.05K","-1.06%"
"03/26/2026","344.90","357.11","362.00","344.00","108.64K","-2.99%"
"03/25/2026","355.53","349.90","356.50","348.00","41.01K","2.93%"
"03/24/2026","345.41","354.00","354.00","341.40","44.79K","1.21%"
"03/19/2026","341.29","352.50","352.50","336.00","164.70K","-3.42%"
"03/18/2026","353.36","343.00","354.43","343.00","21.15K","2.91%"
"03/17/2026","343.38","353.11","353.11","339.00","32.92K","0.45%"
"03/16/2026","341.83","343.86","348.95","340.00","24.00K","-0.59%"
"03/13/2026","343.86","354.00","354.00","326.00","52.91K","-1.04%"
"03/12/2026","347.46","350.00","354.75","345.00","53.67K","-2.21%"
"03/11/2026","355.32","360.00","362.51","353.50","51.57K","-0.97%"
"03/10/2026","358.81","340.00","359.38","340.00","135.07K","8.83%"
"03/09/2026","329.71","352.00","352.00","322.31","130.93K","-7.93%"
"03/06/2026","358.12","361.98","361.98","356.00","52.79K","-0.25%"
"03/05/2026","359.01","360.00","365.00","355.00","182.63K","0.23%"
"03/04/2026","358.17","361.00","362.70","355.07","137.12K","-0.27%"
"03/03/2026","359.14","355.33","380.00","350.00","499.52K","1.07%"
"03/02/2026","355.33","365.01","390.00","353.00","274.45K","-9.36%"
"02/27/2026","392.01","396.00","396.00","380.25","173.68K","-1.19%"
"02/26/2026","396.75","384.50","402.90","375.00","507.98K","3.54%"
"02/25/2026","383.17","389.00","395.00","379.03","106.83K","-1.42%"
"02/24/2026","388.69","400.00","404.00","365.00","374.54K","-2.74%"
"02/23/2026","399.65","407.81","412.00","397.52","132.96K","-2.00%"
"02/20/2026","407.81","402.66","412.00","402.04","32.93K","1.28%"
"02/19/2026","402.66","419.48","419.48","402.00","62.48K","-2.67%"
"02/18/2026","413.69","409.99","416.00","405.00","125.91K","1.36%"
"02/17/2026","408.15","413.00","417.00","405.40","203.62K","-0.81%"
"02/16/2026","411.47","411.00","415.50","404.00","116.86K","0.27%"
"02/13/2026","410.38","410.00","413.98","404.00","189.51K","-0.21%"
"02/12/2026","411.24","410.83","415.01","400.00","262.56K","0.10%"
"02/11/2026","410.83","413.10","415.00","407.50","37.97K","-0.54%"
"02/10/2026","413.05","418.50","418.50","401.00","76.71K","-0.06%"
"02/09/2026","413.30","409.50","417.00","402.99","258.55K","2.65%"
"02/06/2026","402.63","405.05","409.00","399.23","115.06K","-0.60%"
"02/04/2026","405.05","409.00","412.00","391.00","96.68K","-0.69%"
"02/03/2026","407.87","411.21","411.54","405.00","124.14K","0.06%"
"02/02/2026","407.62","406.69","412.00","405.00","70.91K","0.23%"
"01/30/2026","406.69","408.00","412.00","405.00","78.60K","0.39%"
"01/29/2026","405.09","415.99","415.99","404.00","202.49K","-1.63%"
"01/28/2026","411.82","408.01","414.95","408.01","158.45K","0.95%"
"01/27/2026","407.93","408.00","413.32","406.00","74.25K","0.01%"
"01/26/2026","407.87","415.00","416.00","405.05","132.63K","-1.63%"
"01/23/2026","414.62","417.98","418.00","411.01","138.18K","0.11%"
"01/22/2026","414.18","414.50","417.97","411.00","45.36K","-0.08%"
"01/21/2026","414.50","422.35","426.58","411.50","170.64K","-1.86%"
"01/20/2026","422.35","418.00","423.50","415.07","120.70K","1.15%"
"01/19/2026","417.53","419.75","420.99","415.00","108.82K","0.55%"
"01/16/2026","415.24","409.99","416.99","409.99","239.18K","1.28%"
"01/15/2026","409.99","419.00","419.00","408.32","64.09K","-1.00%"
"01/14/2026","414.12","419.50","421.00","412.50","186.68K","-0.56%"
"01/13/2026","416.47","419.00","421.99","414.11","108.69K","-0.46%"
"01/12/2026","418.40","420.00","421.00","411.00","97.60K","-0.29%"
"01/09/2026","419.62","425.51","431.32","402.20","156.81K","-2.71%"
"01/08/2026","431.32","432.10","435.20","425.00","238.79K","0.16%"
"01/07/2026","430.63","425.00","439.00","423.71","241.64K","1.63%"
"01/06/2026","423.71","400.00","430.00","399.00","393.05K","6.35%"
"01/05/2026","398.42","394.89","400.00","394.01","82.26K","1.31%"
"01/02/2026","393.27","394.00","398.00","393.00","150.45K","-0.13%"
"01/01/2026","393.80","396.40","398.00","392.11","46.09K","-0.61%"
"12/31/2025","396.21","396.00","399.89","391.01","111.02K","0.80%"
"12/30/2025","393.08","391.52","394.00","390.51","31.60K","0.40%"
"12/29/2025","391.51","395.00","395.00","390.10","42.57K","-0.72%"
"12/26/2025","394.35","393.44","395.00","390.09","53.86K","0.23%"
"12/24/2025","393.44","389.72","395.00","387.52","72.76K","0.95%"
"12/23/2025","389.72","392.50","392.50","388.00","41.55K","-0.14%"
"12/22/2025","390.25","391.50","393.00","389.01","30.95K","-0.31%"
"12/19/2025","391.45","391.53","393.79","391.00","150.13K","-0.01%"
"12/18/2025","391.48","392.00","395.00","390.11","37.13K","0.10%"
"12/17/2025","391.07","392.03","393.45","387.02","76.52K","-0.20%"
"12/16/2025","391.85","392.99","394.50","389.50","136.03K","0.46%"
"12/15/2025","390.06","390.98","392.99","389.00","47.21K","-0.23%"
"12/12/2025","390.94","394.99","397.00","390.00","94.38K","-0.27%"
"12/11/2025","391.99","395.00","395.00","390.00","20.79K","-0.01%"
"12/10/2025","392.02","398.00","400.00","390.27","77.11K","-1.44%"
"12/09/2025","397.74","405.00","406.00","397.02","257.30K","-0.72%"
"12/08/2025","400.61","387.01","403.00","387.01","299.19K","2.78%"
"12/05/2025","389.79","385.70","391.00","385.70","58.04K","1.06%"
"12/04/2025","385.70","386.50","388.00","384.00","21.06K","-0.20%"
"12/03/2025","386.49","389.50","390.00","385.00","30.07K","-0.43%"
"12/02/2025","388.15","385.99","393.50","383.00","183.60K","0.65%"
"12/01/2025","385.63","386.20","386.68","380.51","79.38K","0.06%"
"11/28/2025","385.39","377.00","387.49","377.00","134.74K","1.58%"
"11/27/2025","379.41","381.95","381.95","378.00","30.44K","0.42%"
"11/26/2025","377.82","380.00","380.00","376.00","85.11K","-0.30%"
"11/25/2025","378.95","379.99","384.90","378.01","151.66K","0.04%"
"11/24/2025","378.79","381.91","385.00","375.00","88.63K","-0.82%"
"11/21/2025","381.91","383.03","386.00","380.11","54.44K","-0.53%"
"11/20/2025","383.94","384.95","385.00","370.22","124.01K","-0.26%"
"11/19/2025","384.95","387.92","387.92","383.00","58.76K","-0.26%"
"11/18/2025","385.95","386.53","387.99","383.40","126.87K","-0.13%"
"11/17/2025","386.47","393.00","393.00","385.29","219.62K","-1.38%"
"11/14/2025","391.87","387.00","396.90","385.00","182.73K","1.53%"
"11/13/2025","385.97","388.50","388.50","385.00","160.51K","0.67%"
"11/12/2025","383.40","385.00","390.89","382.00","153.25K","-0.79%"
"11/11/2025","386.46","388.95","389.00","377.77","426.35K","-0.39%"
"11/10/2025","387.96","390.00","392.00","387.00","87.73K","-0.06%"
